face_id,left,top,right,bottom,score_face,percorso_immagine_censurata
1,343,138,388,188,0.538206934928894,output_immagini/image_censored/censored_beb59084f52dcb04_jpg.rf.nB0qeYmJIl0llnmILG3Q.jpg
2,319,150,363,198,0.48911911249160767,
3,309,151,352,199,0.4763670265674591,
4,376,143,416,192,0.42523881793022156,
5,293,158,337,206,0.3800269365310669,
6,333,157,377,207,0.3770701289176941,
7,364,144,408,191,0.3734492063522339,
8,327,145,371,193,0.35071253776550293,
9,241,159,285,207,0.29122021794319153,
10,220,161,263,209,0.2803288996219635,
