face_id,left,top,right,bottom,score_face,percorso_immagine_censurata
1,309,50,365,128,0.8137182593345642,output_immagini/image_censored/censored_img659_jpg.rf.e089d17abe80d66d2bf00af5ac187fdb.jpg
2,357,114,416,201,0.799403190612793,
3,279,111,334,191,0.7838446497917175,
4,250,93,299,155,0.7761478424072266,
5,144,106,248,297,0.7236344814300537,
6,353,51,404,119,0.6229953169822693,
7,373,53,416,115,0.5548678636550903,
8,334,82,382,140,0.4816163182258606,
9,0,126,39,211,0.4793170392513275,
10,11,92,85,201,0.29996258020401,
11,273,80,319,134,0.27110010385513306,
